id;name_en;name_ru;name_uz
1;City Tashkent;г. Ташкент;Toshkent sh.
3;Region Tashkent;Ташкентская область;Toshkent v.
4;Region Sirdarya;Сырдарьинская область;Sirdaryo v.
5;Region Djizakh;Джизакская область;Jizzax v.
6;Region Samarkand;Самаркандская область;Samarqand v.
7;Region Fergana;Ферганская область;Fargona v.
8;Region Andijan;Андижанская обасть;Andijon v.
9;Region Namangan;Наманганская область;Namangan v.
10;Region Kashkadarya;Кашкадарьинская область;Qashqadaryo v.
11;Region Surkhandarya;Сурхандарьинская область;Surxandaryo v.
12;Region Navoi;Навоийская область;Navoyi v.
13;Region Bukhara;Бухарская область;Buhoro v.
14;Region Harezm;Хорезмская обасть;Horazm v.
15;Republic Karakalpakistan;Республика Каракалпакстан;Respublika Qoraqalpogiston

